Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,734232,-,-,-,29.77,-95.38,-6,15,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2020,1,1,0,30,0,0,0,0,0,0,7,0.1,173.17000000000002,0,0.15,0.5,1.5,48,49.74,10.100000000000001,1017,0.0000,0.0000,N/A
2020,1,1,1,30,0,0,0,0,0,0,7,0.2,163.93,0,0.15,0.5,1.6,70,51.230000000000004,9.8,1017,0.0000,0.0000,N/A
2020,1,1,2,30,0,0,0,0,0,0,7,0.7000000000000001,151.25,0,0.15,0.7000000000000001,1.7000000000000002,84,55.51,9.1,1016,0.0000,0.0000,N/A
2020,1,1,3,30,0,0,0,0,0,0,6,2,138.25,0,0.15,0.9,1.8,87,63.46,8.5,1015,0.0000,0.0000,N/A
2020,1,1,4,30,0,0,0,0,0,0,7,2.8000000000000003,125.29,0,0.15,0.9,2,86,68.54,8.200000000000001,1015,0.0000,0.0000,N/A
2020,1,1,5,30,0,0,0,0,0,0,8,3.6,112.54,0,0.15,0.9,2.2,88,72.86,8.200000000000001,1016,0.0000,0.0000,N/A
2020,1,1,6,30,0,0,0,0,0,0,4,4.3,100.14,0,0.15,0.9,2.3000000000000003,97,75.32000000000001,8.4,1016,0.0000,0.0000,N/A
2020,1,1,7,30,6,0,6,18,126,22,4,4.800000000000001,87.98,86,0.15,1.3,2.5,109,71.59,9.700000000000001,1016,0.0000,0.0000,N/A
2020,1,1,8,30,27,0,27,58,554,181,8,5.1000000000000005,77.17,75,0.15,1.9000000000000001,2.6,117,63.84,11.700000000000001,1017,1.2982,0.9937,N/A
2020,1,1,9,30,37,0,37,75,733,357,8,5,67.41,0,0.15,2.3000000000000003,2.7,128,56.370000000000005,13.5,1017,1.9368,1.5042,N/A
2020,1,1,10,30,41,0,41,84,820,500,4,5.300000000000001,59.52,0,0.15,2.5,2.8000000000000003,138,52.660000000000004,14.9,1016,2.2667,1.7708,N/A
2020,1,1,11,30,50,0,50,86,863,589,4,6.4,54.370000000000005,0,0.15,2.7,2.9000000000000004,143,53.980000000000004,15.700000000000001,1014,2.8376,2.2220,N/A
2020,1,1,12,30,57,0,57,87,874,616,4,7.800000000000001,52.75,0,0.15,3,3,148,56.92,16.400000000000002,1012,3.2577,2.5524,N/A
2020,1,1,13,30,58,0,58,86,855,576,4,9.5,55,0,0.15,3,3.1,157,60.730000000000004,17.1,1011,3.2822,2.5695,N/A
2020,1,1,14,30,55,0,55,83,799,474,4,11.100000000000001,60.68,0,0.15,2.7,3.3000000000000003,165,67.34,17.2,1010,3.0199,2.3578,N/A
2020,1,1,15,30,38,7,41,74,690,322,4,12.5,68.94,0,0.15,2.1,3.5,160,76.01,16.7,1010,2.1186,1.6428,N/A
2020,1,1,16,30,35,1,35,55,470,145,4,13.5,78.93,100,0.15,1.6,3.7,146,88.13,15.5,1009,1.6694,1.2739,N/A
2020,1,1,17,30,2,0,2,8,41,8,4,13.8,89.71000000000001,57,0.15,1.4000000000000001,3.9000000000000004,140,94.09,14.700000000000001,1009,0.0000,0.0000,N/A
2020,1,1,18,30,0,0,0,0,0,0,8,14.100000000000001,102.18,0,0.15,2,4.2,141,96.82000000000001,14.600000000000001,1009,0.0000,0.0000,N/A
2020,1,1,19,30,0,0,0,0,0,0,8,14.5,114.66,0,0.15,2.4000000000000004,4.3,137,98.35000000000001,14.8,1008,0.0000,0.0000,N/A
2020,1,1,20,30,0,0,0,0,0,0,8,14.9,127.45,0,0.15,2.6,4.5,129,99.31,15,1007,0.0000,0.0000,N/A
2020,1,1,21,30,0,0,0,0,0,0,8,15.100000000000001,140.43,0,0.15,2.3000000000000003,4.7,124,100,15.100000000000001,1006,0.0000,0.0000,N/A
