Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,702381,-,-,-,32.77,-96.78,-6,135,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2020,1,1,0,30,0,0,0,0,0,0,6,-2,170.26,0,0.18,1.8,0.9,184,63.72,4.3,1001,0.0000,0.0000,N/A
2020,1,1,1,30,0,0,0,0,0,0,6,-2,163.63,0,0.18,1.9000000000000001,0.9,189,64.25,4.1000000000000005,1001,0.0000,0.0000,N/A
2020,1,1,2,30,0,0,0,0,0,0,6,-2.1,151.94,0,0.18,2,0.9,194,65.83,3.7,1000,0.0000,0.0000,N/A
2020,1,1,3,30,0,0,0,0,0,0,6,-2.1,139.45000000000002,0,0.18,2,1,200,66.8,3.5,999,0.0000,0.0000,N/A
2020,1,1,4,30,0,0,0,0,0,0,6,-1.8,126.85000000000001,0,0.18,2.1,1,204,67.92,3.6,999,0.0000,0.0000,N/A
2020,1,1,5,30,0,0,0,0,0,0,7,-1.5,114.41,0,0.18,2.1,1.1,204,68.67,3.7,999,0.0000,0.0000,N/A
2020,1,1,6,30,0,0,0,0,0,0,7,-1.2000000000000002,102.31,0,0.18,2.2,1.3,200,69.26,3.9000000000000004,999,0.0000,0.0000,N/A
2020,1,1,7,30,2,0,2,6,46,6,7,-0.9,90.13,43,0.18,2.7,1.4000000000000001,194,66.4,4.800000000000001,999,0.0000,0.0000,N/A
2020,1,1,8,30,29,0,29,48,523,140,7,-0.9,79.89,100,0.18,3.5,1.6,187,60.32,6.2,999,1.3825,1.0537,N/A
2020,1,1,9,30,36,0,36,74,705,310,7,-0.7000000000000001,70.42,0,0.18,3.9000000000000004,1.7000000000000002,183,55.25,7.7,998,1.8360,1.4210,N/A
2020,1,1,10,30,38,0,38,91,781,449,6,-0.4,62.730000000000004,0,0.18,4.2,1.9000000000000001,182,50.480000000000004,9.4,998,2.0595,1.6058,N/A
2020,1,1,11,30,84,0,84,99,823,540,6,-0.4,57.6,0,0.18,4.4,2,185,45.46,10.9,996,4.6930,3.6699,N/A
2020,1,1,12,30,58,0,58,98,843,572,6,-0.8,55.76,0,0.18,4.6000000000000005,2.1,188,42.37,11.600000000000001,995,3.2705,2.5596,N/A
2020,1,1,13,30,106,1,107,94,835,542,6,-0.8,57.53,0,0.18,4.6000000000000005,2.1,191,40.84,12.100000000000001,993,5.9802,4.6767,N/A
2020,1,1,14,30,91,0,91,83,803,453,6,-0.4,62.6,0,0.18,4.6000000000000005,2,191,41.980000000000004,12.200000000000001,992,4.9362,3.8491,N/A
2020,1,1,15,30,93,7,95,69,724,314,7,0.6000000000000001,70.25,0,0.18,4.5,2,189,45.88,11.9,992,4.8525,3.7566,N/A
2020,1,1,16,30,55,2,55,48,534,143,7,1.9000000000000001,79.7,100,0.18,4.5,1.9000000000000001,187,52.78,11.200000000000001,991,2.6216,1.9985,N/A
2020,1,1,17,30,3,0,3,6,51,6,7,3.1,89.97,57,0.18,4.5,1.9000000000000001,186,58.550000000000004,10.9,991,0.0000,0.0000,N/A
2020,1,1,18,30,0,0,0,0,0,0,6,4.1000000000000005,102.08,0,0.18,4.7,1.9000000000000001,182,65.61,10.3,990,0.0000,0.0000,N/A
2020,1,1,19,30,0,0,0,0,0,0,6,5,114.17,0,0.18,4.6000000000000005,1.9000000000000001,177,72.29,9.8,990,0.0000,0.0000,N/A
2020,1,1,20,30,0,0,0,0,0,0,7,5.7,126.61,0,0.18,4.5,1.9000000000000001,175,77.51,9.4,989,0.0000,0.0000,N/A
2020,1,1,21,30,0,0,0,0,0,0,6,6.2,139.20000000000002,0,0.18,4.4,1.9000000000000001,175,81.55,9.200000000000001,989,0.0000,0.0000,N/A
2020,1,1,22,30,0,0,0,0,0,0,7,6.800000000000001,151.69,0,0.18,4.4,2,177,85.02,9.200000000000001,989,0.0000,0.0000,N/A
2020,1,1,23,30,0,0,0,0,0,0,7,7.6000000000000005,163.4,0,0.18,4.7,2.1,180,88.59,9.4,989,0.0000,0.0000,N/A
2020,1,2,0,30,0,0,0,0,0,0,7,8.5,170.17000000000002,0,0.18,5.1000000000000005,2.3000000000000003,184,91.51,9.8,988,0.0000,0.0000,N/A
2020,1,2,1,30,0,0,0,0,0,0,7,9,163.66,0,0.18,5.2,2.5,186,94.44,9.9,988,0.0000,0.0000,N/A
2020,1,2,2,30,0,0,0,0,0,0,6,9.200000000000001,152,0,0.18,5.2,2.6,189,94.64,10,987,0.0000,0.0000,N/A
2020,1,2,3,30,0,0,0,0,0,0,7,9.200000000000001,139.51,0,0.18,4.9,2.7,190,95.11,9.9,987,0.0000,0.0000,N/A
2020,1,2,4,30,0,0,0,0,0,0,8,9.1,126.92,0,0.18,4.2,2.7,185,95.36,9.8,986,0.0000,0.0000,N/A
2020,1,2,5,30,0,0,0,0,0,0,8,9.200000000000001,114.47,0,0.18,3.8000000000000003,2.8000000000000003,181,96.87,9.700000000000001,986,0.0000,0.0000,N/A
2020,1,2,6,30,0,0,0,0,0,0,7,9.4,102.36,0,0.18,3.7,2.8000000000000003,179,97.60000000000001,9.8,986,0.0000,0.0000,N/A
